epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,183.542,1.06408,0.77662,0.97987,0.97455,0.54496,0.70601,0.47279,1.07008,0.7327,1.01996,0.000848969,0.000848969,0.000848969
43,187.862,1.04576,0.78231,0.97952,0.838,0.56318,0.69718,0.46877,1.07118,0.72053,1.01887,0.000834822,0.000834822,0.000834822
44,192.14,1.05239,0.77456,0.97435,0.86365,0.56461,0.66018,0.41715,1.13208,0.76341,1.05333,0.000820675,0.000820675,0.000820675
45,196.405,1.03373,0.76325,0.97303,0.94822,0.56668,0.67569,0.44186,1.09979,0.7396,1.00818,0.000806528,0.000806528,0.000806528
46,200.714,1.04296,0.75515,0.95693,0.88828,0.56414,0.68354,0.47819,1.1093,0.73308,1.01884,0.00079238,0.00079238,0.00079238
47,205.085,1.04446,0.75462,0.98012,0.92295,0.56596,0.68465,0.46244,1.08454,0.72597,1.00803,0.000778233,0.000778233,0.000778233
48,209.481,1.05925,0.76558,0.97339,0.74323,0.72454,0.78436,0.48695,1.07655,0.72696,0.99593,0.000764086,0.000764086,0.000764086
49,213.863,1.04128,0.73688,0.96053,0.78001,0.7274,0.78546,0.50073,1.06792,0.68271,1.00862,0.000749939,0.000749939,0.000749939
50,218.23,1.03426,0.74868,0.97128,0.74661,0.59318,0.69474,0.48191,1.06116,0.74067,1.00435,0.000735792,0.000735792,0.000735792
51,222.613,1.01582,0.72129,0.96054,0.92585,0.55537,0.66887,0.45821,1.08861,0.79555,1.00439,0.000721645,0.000721645,0.000721645
52,226.999,1.05087,0.73681,0.96486,0.83391,0.57407,0.73109,0.47906,1.10651,0.74331,1.01314,0.000707498,0.000707498,0.000707498
53,231.331,1.01234,0.7212,0.95802,0.82095,0.5949,0.73388,0.4711,1.06378,0.73081,0.99747,0.000693351,0.000693351,0.000693351
54,235.649,1.05834,0.74726,0.98277,0.82778,0.58788,0.74059,0.48844,1.09107,0.72608,1.006,0.000679204,0.000679204,0.000679204
55,239.928,1.02687,0.72302,0.96458,0.81425,0.60104,0.74861,0.48562,1.05073,0.67998,0.99543,0.000665057,0.000665057,0.000665057
56,244.188,0.9957,0.69174,0.95551,0.85118,0.5841,0.70256,0.44372,1.09829,0.69207,1.02897,0.000650909,0.000650909,0.000650909
57,248.693,0.99408,0.71092,0.96133,0.93521,0.58021,0.7219,0.4705,1.0117,0.6706,0.9878,0.000636762,0.000636762,0.000636762
58,253.085,0.95331,0.67686,0.95116,0.87669,0.59568,0.68147,0.46468,1.0464,0.67361,1.00338,0.000622615,0.000622615,0.000622615
59,257.491,0.95674,0.6831,0.94865,0.92754,0.57793,0.70726,0.46389,1.06954,0.6665,0.99761,0.000608468,0.000608468,0.000608468
60,261.883,0.95869,0.66218,0.93917,0.93053,0.57139,0.72877,0.4881,1.05167,0.65033,1.00096,0.000594321,0.000594321,0.000594321
61,266.259,0.94428,0.66025,0.92773,0.90373,0.67564,0.80441,0.53867,1.0424,0.64074,0.99749,0.000580174,0.000580174,0.000580174
62,270.657,0.96804,0.68217,0.94289,0.84907,0.79966,0.84619,0.59734,1.05868,0.65404,0.99489,0.000566027,0.000566027,0.000566027
63,275.046,0.98172,0.67371,0.95206,0.85969,0.74851,0.8337,0.54965,1.05265,0.64775,0.99563,0.00055188,0.00055188,0.00055188
64,279.37,0.95071,0.65045,0.93434,0.85718,0.76895,0.8457,0.59853,1.05748,0.65501,0.99767,0.000537733,0.000537733,0.000537733
65,283.765,0.94199,0.66537,0.94485,0.8622,0.80627,0.84336,0.57968,1.07969,0.68142,1.00237,0.000523586,0.000523586,0.000523586
66,288.135,0.93206,0.64596,0.93798,0.83706,0.62946,0.74689,0.4998,1.05427,0.69122,0.98875,0.000509438,0.000509438,0.000509438
67,292.457,0.96251,0.66973,0.93631,0.81593,0.58751,0.72516,0.49717,1.09438,0.69712,1.03195,0.000495291,0.000495291,0.000495291
68,296.743,0.9654,0.65941,0.93526,0.78941,0.65069,0.72204,0.47628,1.03381,0.68477,1.00598,0.000481144,0.000481144,0.000481144
69,301.015,0.98351,0.67031,0.93864,0.86409,0.66941,0.73453,0.49442,1.01898,0.65549,0.98723,0.000466997,0.000466997,0.000466997
70,305.318,0.93058,0.64058,0.93104,0.83312,0.62056,0.7335,0.51178,1.01279,0.64956,0.99591,0.00045285,0.00045285,0.00045285
71,309.662,0.91768,0.63032,0.92977,0.90383,0.70359,0.83548,0.58262,1.01863,0.64043,0.98877,0.000438703,0.000438703,0.000438703
72,314.086,0.93694,0.64244,0.93015,0.90609,0.69403,0.83885,0.58646,1.01981,0.64553,0.99462,0.000424556,0.000424556,0.000424556
73,318.468,0.91782,0.63395,0.92512,0.95716,0.70973,0.84725,0.56747,1.03205,0.63823,0.99775,0.000410409,0.000410409,0.000410409
74,322.861,0.90219,0.61629,0.92526,0.90968,0.68906,0.82741,0.54164,1.05142,0.64879,1.00358,0.000396262,0.000396262,0.000396262
75,327.246,0.90359,0.61688,0.93723,0.93588,0.65836,0.81164,0.56253,0.99394,0.64228,0.98042,0.000382115,0.000382115,0.000382115
76,331.554,0.88657,0.6099,0.92131,0.90904,0.70082,0.82623,0.55322,0.998,0.62979,0.98199,0.000367967,0.000367967,0.000367967
77,335.826,0.89872,0.63041,0.92948,0.89016,0.82253,0.85889,0.57907,1.01064,0.6209,0.99353,0.00035382,0.00035382,0.00035382
78,340.182,0.88258,0.61366,0.9171,0.90998,0.79605,0.86028,0.60552,1.02286,0.61604,0.9986,0.000339673,0.000339673,0.000339673
79,344.571,0.88456,0.60092,0.90895,0.86964,0.80466,0.85941,0.59278,1.01321,0.61353,0.98835,0.000325526,0.000325526,0.000325526
80,348.942,0.87958,0.60794,0.91841,0.87366,0.81748,0.85469,0.60765,0.99727,0.62257,0.99414,0.000311379,0.000311379,0.000311379
81,353.436,0.86579,0.58692,0.90426,0.8497,0.82405,0.85325,0.60098,1.01188,0.62429,0.9928,0.000297232,0.000297232,0.000297232
82,357.734,0.88851,0.61225,0.91565,0.90531,0.79974,0.86471,0.59386,1.00556,0.61109,0.99021,0.000283085,0.000283085,0.000283085
83,362.018,0.90052,0.60837,0.91986,0.91243,0.78935,0.8566,0.59935,1.00497,0.6074,0.99824,0.000268938,0.000268938,0.000268938
84,366.358,0.84745,0.58509,0.90693,0.77246,0.78395,0.81127,0.57014,1.00779,0.61724,1.00642,0.000254791,0.000254791,0.000254791
85,370.728,0.83771,0.57697,0.91209,0.87702,0.64764,0.80469,0.58069,0.99327,0.61292,1.00266,0.000240644,0.000240644,0.000240644
86,375.115,0.85615,0.58319,0.91261,0.81075,0.78086,0.8216,0.5779,0.99442,0.62815,1.00533,0.000226497,0.000226497,0.000226497
87,379.501,0.8338,0.57741,0.89892,0.89083,0.7797,0.83925,0.60686,0.99512,0.63068,1.00551,0.000212349,0.000212349,0.000212349
88,383.864,0.85497,0.58226,0.90645,0.87409,0.77469,0.8377,0.5942,1.01411,0.62235,1.02061,0.000198202,0.000198202,0.000198202
89,388.167,0.8548,0.57428,0.91683,0.84185,0.78509,0.84353,0.57805,0.99812,0.60917,1.0122,0.000184055,0.000184055,0.000184055
90,392.462,0.83473,0.57232,0.90402,0.87104,0.77293,0.84568,0.58774,0.99208,0.60998,1.00613,0.000169908,0.000169908,0.000169908
91,397.746,0.8962,0.65713,0.91734,0.93283,0.66819,0.81903,0.5847,1.00736,0.6179,1.01751,0.000155761,0.000155761,0.000155761
92,402.067,0.87269,0.62629,0.90848,0.82797,0.76902,0.83294,0.58358,1.03188,0.6084,1.02704,0.000141614,0.000141614,0.000141614
93,406.314,0.8536,0.60149,0.90995,0.8472,0.80302,0.84326,0.58528,1.03163,0.60819,1.02113,0.000127467,0.000127467,0.000127467
94,410.55,0.84541,0.58736,0.90044,0.84589,0.79604,0.83123,0.57424,1.02519,0.60498,1.01985,0.00011332,0.00011332,0.00011332
95,414.765,0.82335,0.58237,0.90492,0.82668,0.8192,0.8254,0.55146,1.04836,0.6126,1.03191,9.91726e-05,9.91726e-05,9.91726e-05
96,419.034,0.82705,0.58583,0.89012,0.83662,0.78527,0.82239,0.53527,1.06008,0.62908,1.02891,8.50255e-05,8.50255e-05,8.50255e-05
97,423.34,0.82301,0.57638,0.90725,0.82657,0.79552,0.82602,0.5347,1.05209,0.6233,1.02384,7.08784e-05,7.08784e-05,7.08784e-05
98,427.68,0.81817,0.57766,0.89838,0.7865,0.79148,0.81116,0.52579,1.04074,0.61357,1.01601,5.67313e-05,5.67313e-05,5.67313e-05
99,431.967,0.78728,0.55901,0.89443,0.80955,0.71808,0.79614,0.53046,1.03568,0.60984,1.01638,4.25842e-05,4.25842e-05,4.25842e-05
100,436.233,0.79511,0.55602,0.89248,0.78553,0.69643,0.79588,0.52819,1.03146,0.60624,1.01762,2.84371e-05,2.84371e-05,2.84371e-05
